unique_id,site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file,most_recent
1,id_5168346,8,Zambia_0.05_n_725-749.csv,,KL,26.687395420902995,-15.040310386969027,False,1,2023,9,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
2,id_5168346,8,Zambia_0.05_n_725-749.csv,,KL,26.687395420902995,-15.040310386969027,False,2,2019,10,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
3,id_3581818,14,Zambia_0.05_n_725-749.csv,,KL,31.8830428929548,-14.12473537724542,False,1,2024,6,30,2,0.0341823402233562,0.0,171.95521289174462,,120.8452619003572,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
4,id_3581818,14,Zambia_0.05_n_725-749.csv,,KL,31.8830428929548,-14.12473537724542,False,2,2021,9,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
5,id_3581818,14,Zambia_0.05_n_725-749.csv,,KL,31.8830428929548,-14.12473537724542,False,3,2016,6,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
6,id_5137280,15,Zambia_0.05_n_725-749.csv,,KL,28.99441559864601,-14.019653008137954,False,1,2023,10,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
7,id_3556386,17,Zambia_0.05_n_725-749.csv,,KL,32.282892408201775,-13.638021242841484,False,1,2024,8,26,4,0.0193720583559296,0.010888030384188,97.56904480680588,109.67754016639373,85.46054944721804,109.67754016639373,0.0,0.0,0.0,0.0,KL_v2_725-749,1
8,id_3556386,17,Zambia_0.05_n_725-749.csv,,KL,32.282892408201775,-13.638021242841484,False,2,2017,9,10,2,0.010154267673459,0.0,102.28492439658442,,102.28492439658442,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
9,id_5130509,16,Zambia_0.05_n_725-749.csv,,KL,28.28957713752233,-13.789392215880763,False,1,2017,7,31,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
10,id_5130509,16,Zambia_0.05_n_725-749.csv,,KL,28.28957713752233,-13.789392215880763,False,2,2016,9,9,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
11,id_5130509,16,Zambia_0.05_n_725-749.csv,,KL,28.28957713752233,-13.789392215880763,False,3,2016,8,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
12,id_5161773,12,Zambia_0.05_n_725-749.csv,,KL,25.33060529907417,-14.871709965825554,False,1,2023,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
13,id_5161773,12,Zambia_0.05_n_725-749.csv,,KL,25.33060529907417,-14.871709965825554,False,2,2021,7,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
14,id_5144247,13,Zambia_0.05_n_725-749.csv,,KL,28.691173639586463,-14.32022741488441,False,1,2019,10,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
15,id_5162701,11,Zambia_0.05_n_725-749.csv,,KL,28.25872082764209,-14.892409057556012,False,1,2020,6,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
16,id_5162701,11,Zambia_0.05_n_725-749.csv,,KL,28.25872082764209,-14.892409057556012,False,2,2016,8,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
17,id_5162701,11,Zambia_0.05_n_725-749.csv,,KL,28.25872082764209,-14.892409057556012,False,3,2016,7,27,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
18,id_5163440,10,Zambia_0.05_n_725-749.csv,,KL,27.79400864767703,-14.912571131207455,True,1,2023,9,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
19,id_5163440,10,Zambia_0.05_n_725-749.csv,,KL,27.79400864767703,-14.912571131207455,True,2,2018,8,26,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
20,id_3531413,21,Zambia_0.05_n_725-749.csv,,KL,30.83682680474056,-13.069365968963773,False,1,2023,6,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
21,id_3531413,21,Zambia_0.05_n_725-749.csv,,KL,30.83682680474056,-13.069365968963773,False,2,2018,8,9,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
22,id_3536075,20,Zambia_0.05_n_725-749.csv,,KL,30.75288609797549,-13.177085684547157,True,1,2024,7,21,4,0.221231979258499,0.1213269787308962,184.96833637587423,243.4535026281374,47.871620644898194,101.95083940802743,0.0,0.0,0.0,0.0,KL_v2_725-749,1
23,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,1,2023,9,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
24,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,2,2022,10,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
25,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,3,2021,9,16,2,0.0205545852926822,0.0,205.45227279694143,,205.45227279694143,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
26,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,4,2020,8,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
27,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,5,2018,8,23,3,0.0157793264250778,0.0077972259411859,78.8595582684018,77.93574859448819,77.93574859448819,77.93574859448819,0.0,0.0,0.0,0.0,KL_v2_725-749,1
28,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,6,2018,8,23,3,0.0157793264250778,0.0077972259411859,78.8595582684018,77.93574859448819,77.93574859448819,77.93574859448819,0.0,0.0,0.0,0.0,KL_v2_725-749,1
29,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,7,2018,8,19,2,0.0038651214514523,0.0,38.63296223462259,,38.63296223462259,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
30,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,8,2018,6,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
31,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,9,2017,7,20,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
32,id_5099635,22,Zambia_0.05_n_725-749.csv,,KL,28.06324144512697,-12.795953195067476,False,10,2017,6,4,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
33,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,1,2023,9,11,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
34,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,2,2022,7,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
35,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,3,2019,8,4,2,0.0450443987716294,0.0,450.2863711085819,,450.2863711085819,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
36,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,4,2017,7,20,3,0.0283175066741422,0.0283175066741422,283.0759780001092,283.0759780001092,283.0759780001092,283.0759780001092,0.0,0.0,0.0,0.0,KL_v2_725-749,1
37,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,5,2017,6,11,4,0.03530324607068,0.03530324607068,352.90891216028143,352.90891216028143,352.90891216028143,352.90891216028143,0.0,0.0,0.0,0.0,KL_v2_725-749,1
38,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,6,2017,6,4,4,0.0376033093045913,0.0376033093045913,375.9015275114792,375.9015275114792,375.9015275114792,375.9015275114792,0.0,0.0,0.0,0.0,KL_v2_725-749,1
39,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,7,2016,10,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
40,id_5091154,23,Zambia_0.05_n_725-749.csv,,KL,28.24582179661913,-12.4515943367674,True,8,2016,8,2,5,0.0784262319045872,0.0784262319045872,391.9945501661496,391.9945501661496,363.129744330197,363.129744330197,0.0,0.0,0.0,0.0,KL_v2_725-749,1
41,id_5053315,24,Zambia_0.05_n_725-749.csv,,KL,29.271321016330965,-10.74595620862111,False,1,2023,7,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
42,id_5053315,24,Zambia_0.05_n_725-749.csv,,KL,29.271321016330965,-10.74595620862111,False,2,2018,7,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
43,id_5053315,24,Zambia_0.05_n_725-749.csv,,KL,29.271321016330965,-10.74595620862111,False,3,2017,9,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
44,id_5122410,18,Zambia_0.05_n_725-749.csv,,KL,29.054930798746483,-13.531150475906731,False,1,2023,7,13,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
45,id_5122410,18,Zambia_0.05_n_725-749.csv,,KL,29.054930798746483,-13.531150475906731,False,2,2020,7,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
46,id_5122410,18,Zambia_0.05_n_725-749.csv,,KL,29.054930798746483,-13.531150475906731,False,3,2019,9,22,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_v2_725-749,1
