site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_5198343,6,Zambia_0.05_n_101-125.csv,,DSB,27.61153949085305,-16.097420358722548,True,1,2019,7,27,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5198343,6,Zambia_0.05_n_101-125.csv,,DSB,27.61153949085305,-16.097420358722548,True,2,2021,6,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5198343,6,Zambia_0.05_n_101-125.csv,,DSB,27.61153949085305,-16.097420358722548,True,3,2023,6,22,5,0.03931467129265813,0.025977277183008976,130.95588390285081,129.79426384266495,92.90710529073289,92.90710529073289,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,DSB,23.668267383705523,-15.449433701871074,False,1,2017,9,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,DSB,23.668267383705523,-15.449433701871074,False,2,2018,7,4,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,DSB,23.668267383705523,-15.449433701871074,False,3,2023,8,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5063118,20,Zambia_0.05_n_101-125.csv,,DSB,29.97000634894012,-11.173630220530136,False,1,2018,8,27,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5063118,20,Zambia_0.05_n_101-125.csv,,DSB,29.97000634894012,-11.173630220530136,False,2,2024,8,11,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,1,2016,6,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,2,2018,6,4,2,0.06313497140938613,0.0,319.0470163422775,,290.3091473666283,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,3,2019,6,14,4,0.10676891952734932,0.06205662401707185,359.7015633150177,627.2015555180321,54.016923613803044,627.2015555180321,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,4,2019,6,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,5,2019,10,18,4,0.018871206812066908,0.018871206812066908,190.7330893833712,190.7330893833712,190.7330893833712,190.7330893833712,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,6,2020,8,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,7,2021,6,5,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,8,2021,6,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,9,2021,6,22,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,,DSB,33.24314026470543,-12.309666542306966,True,10,2022,8,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5120065,16,Zambia_0.05_n_101-125.csv,,DSB,26.236829567992093,-13.47513515854939,False,1,2023,7,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,,DSB,28.02012755987878,-13.510387499928614,False,1,2016,8,2,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,,DSB,28.02012755987878,-13.510387499928614,False,2,2017,6,4,2,0.56297317292935,0.0,5626.982735310843,,5626.982735310843,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,,DSB,28.02012755987878,-13.510387499928614,False,3,2023,8,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5106265,17,Zambia_0.05_n_101-125.csv,,DSB,27.317228869056635,-13.014930672050308,True,1,2019,9,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5106265,17,Zambia_0.05_n_101-125.csv,,DSB,27.317228869056635,-13.014930672050308,True,2,2023,7,16,4,0.1826586786479172,0.08491520287575796,456.29969611843217,282.83548195493876,237.3747506787267,237.3747506787267,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5092601,18,Zambia_0.05_n_101-125.csv,,DSB,24.960879112558818,-12.501002119335134,True,1,2024,7,12,3,1.4378334495962337,1.3442634101353286,7193.4828976117215,13448.305069656604,938.6607255668391,13448.305069656604,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5128501,14,Zambia_0.05_n_101-125.csv,,DSB,28.039553616748982,-13.72729035126831,False,1,2020,10,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5128501,14,Zambia_0.05_n_101-125.csv,,DSB,28.039553616748982,-13.72729035126831,False,2,2023,8,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,,DSB,27.69635912194645,-16.286994171812346,True,1,2023,6,17,5,0.26774541311144906,0.26774541311144906,427.26762072119675,427.26762072119675,62.4864129553381,62.4864129553381,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,,DSB,27.69635912194645,-16.286994171812346,True,2,2021,9,5,2,0.022322860059798447,0.0,74.3614658234796,,29.091659046939977,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,,DSB,27.69635912194645,-16.286994171812346,True,3,2021,6,17,5,0.14565619657988296,0.036151133120809906,785.1883618924332,361.2771457357684,361.2771457357684,361.2771457357684,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,,DSB,27.69635912194645,-16.286994171812346,True,4,2019,7,27,5,0.3325551916750123,0.3325551916750123,555.0757388612773,555.0757388612773,54.81229726035217,54.81229726035217,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5215242,3,Zambia_0.05_n_101-125.csv,,DSB,26.56308708344337,-16.613122248631264,True,1,2016,10,31,4,0.06821317495741669,0.06821317495741669,681.6287382637447,681.6287382637447,681.6287382637447,681.6287382637447,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,DSB,28.733099770105856,-13.732435532730667,True,1,2016,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,DSB,28.733099770105856,-13.732435532730667,True,2,2018,10,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5248727,1,Zambia_0.05_n_101-125.csv,,DSB,26.240499223745218,-17.561268679796285,False,1,2023,8,11,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,DSB,28.0929278918455,-15.191571726460833,True,1,2016,8,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,DSB,28.0929278918455,-15.191571726460833,True,2,2017,8,28,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,DSB,28.0929278918455,-15.191571726460833,True,3,2018,10,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,,DSB,28.54000900267712,-13.896421849035953,True,1,2016,9,1,3,0.2450322670027634,0.07288313149463961,816.6795527071491,728.7442083292729,377.9263660632373,728.7442083292729,0.0,0.0,0.0,0.0,DSB_MV_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,,DSB,28.54000900267712,-13.896421849035953,True,2,2018,9,16,4,0.20841289856858353,0.041482681471817044,416.77767270134746,414.7778515021821,259.9030878051491,414.7778515021821,0.0,0.0,0.0,0.0,DSB_MV_101-125
