site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_5170792,8,Zambia_0.05_n_225-249.csv,,DSB,23.460474971157723,-15.076142151921047,False,1,2019,7,10,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5154963,9,Zambia_0.05_n_225-249.csv,,DSB,27.60745970246296,-14.696159597997298,False,1,2018,8,29,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5154963,9,Zambia_0.05_n_225-249.csv,,DSB,27.60745970246296,-14.696159597997298,False,2,2018,8,26,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5154963,9,Zambia_0.05_n_225-249.csv,,DSB,27.60745970246296,-14.696159597997298,False,3,2017,9,11,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5154963,9,Zambia_0.05_n_225-249.csv,,DSB,27.60745970246296,-14.696159597997298,False,4,2017,7,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_3576763,14,Zambia_0.05_n_225-249.csv,,DSB,31.71676321435361,-14.042546516857016,True,1,2023,7,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5125546,15,Zambia_0.05_n_225-249.csv,,DSB,28.50126793062229,-13.62548107117574,False,1,2024,7,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5125546,15,Zambia_0.05_n_225-249.csv,,DSB,28.50126793062229,-13.62548107117574,False,2,2018,9,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5125546,15,Zambia_0.05_n_225-249.csv,,DSB,28.50126793062229,-13.62548107117574,False,3,2016,9,9,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5098721,17,Zambia_0.05_n_225-249.csv,,DSB,28.35783233561157,-12.758437909707572,True,1,2023,10,7,4,0.5076497677590135,0.5076497677590135,1691.7005770219173,1691.7005770219173,408.95366130248107,408.95366130248107,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5098721,17,Zambia_0.05_n_225-249.csv,,DSB,28.35783233561157,-12.758437909707572,True,2,2022,10,5,4,0.7052811134734458,0.6046430363618572,2350.289263470155,3022.3831802178274,1006.10142997481,1463.908108399693,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5098721,17,Zambia_0.05_n_225-249.csv,,DSB,28.35783233561157,-12.758437909707572,True,3,2021,9,13,3,0.6745194816100134,0.6248800032195096,2252.854643021865,3131.1528841347927,496.2581607960095,2400.4283534094984,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5098721,17,Zambia_0.05_n_225-249.csv,,DSB,28.35783233561157,-12.758437909707572,True,4,2018,10,11,3,0.7002572916094177,0.7002572916094177,7000.643066214834,7000.643066214834,7000.643066214834,7000.643066214834,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5098721,17,Zambia_0.05_n_225-249.csv,,DSB,28.35783233561157,-12.758437909707572,True,5,2018,8,19,4,0.6669759286319191,0.6669759286319191,6667.92021407552,6667.92021407552,6667.92021407552,6667.92021407552,0.0,0.0,0.0,0.0,DSB_v2_225-249
id_5098721,17,Zambia_0.05_n_225-249.csv,,DSB,28.35783233561157,-12.758437909707572,True,6,2018,6,14,4,0.42351322290464,0.42351322290464,4233.96398790934,4233.96398790934,4233.96398790934,4233.96398790934,0.0,0.0,0.0,0.0,DSB_v2_225-249
