site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_1375774,25,Zambia_0.05_n_250-274.csv,,JL,29.868204678327395,-8.867125040422703,False,1,2019,9,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_1375774,25,Zambia_0.05_n_250-274.csv,,JL,29.868204678327395,-8.867125040422703,False,2,2017,9,7,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3591512,11,Zambia_0.05_n_250-274.csv,,JL,31.85443490332305,-14.28732520488405,False,1,2024,6,30,5,0.7318551590611221,0.631848462973766,382.8203954967318,391.19624636392973,35.373714493708675,35.373714493708675,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3591512,11,Zambia_0.05_n_250-274.csv,,JL,31.85443490332305,-14.28732520488405,False,2,2016,6,3,5,0.5317841042374638,0.3968020356756138,668.7244815375997,665.3098837656729,175.01848703583067,175.01848703583067,0.0,0.0,0.0,0.0,JL_v2_250-274
id_1380838,24,Zambia_0.05_n_250-274.csv,,JL,29.90788451957486,-9.282378118883324,True,1,2017,10,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3572890,12,Zambia_0.05_n_250-274.csv,,JL,32.89294298369383,-13.973591739493871,False,1,2024,7,31,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3572890,12,Zambia_0.05_n_250-274.csv,,JL,32.89294298369383,-13.973591739493871,False,2,2016,7,26,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5145539,10,Zambia_0.05_n_250-274.csv,,JL,23.54602898884027,-14.364326517563878,False,1,2023,7,22,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_1380953,23,Zambia_0.05_n_250-274.csv,,JL,29.71697656334324,-9.292916247048172,True,1,2024,6,28,3,0.3094871985055912,0.3094871985055912,3099.2802962981013,3099.2802962981013,3099.2802962981013,3099.2802962981013,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5043183,21,Zambia_0.05_n_250-274.csv,,JL,29.232280778572907,-10.402802478697662,False,1,2024,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5043183,21,Zambia_0.05_n_250-274.csv,,JL,29.232280778572907,-10.402802478697662,False,2,2017,9,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,1,2024,9,29,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,2,2022,8,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,3,2022,7,31,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,4,2020,7,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,5,2019,6,14,2,0.054898469583241225,0.0,275.6179302496412,,210.20592907587064,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,6,2018,6,9,4,0.505467959476602,0.03775259713516058,634.4402015803296,379.0683798794007,162.8872362922005,379.0683798794007,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3447282,22,Zambia_0.05_n_250-274.csv,,JL,31.059158063375044,-10.278147738333155,False,7,2017,9,15,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5174936,7,Zambia_0.05_n_250-274.csv,,JL,28.48384657502192,-15.189334517296723,False,1,2021,8,17,5,1.1168628342337423,0.9302005045079192,1915.688862546869,2406.9556530906784,445.3688048152026,445.3688048152026,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5174936,7,Zambia_0.05_n_250-274.csv,,JL,28.48384657502192,-15.189334517296723,False,2,2017,8,30,5,0.9630156380273862,0.543020777229615,1603.9720261759662,1809.7761120652879,118.37900546277649,1471.7709242954893,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5174936,7,Zambia_0.05_n_250-274.csv,,JL,28.48384657502192,-15.189334517296723,False,3,2017,8,25,5,0.8747725635547265,0.5209822742032447,1703.0725653461766,1659.4310737428466,84.90672029900372,84.90672029900372,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5203774,4,Zambia_0.05_n_250-274.csv,,JL,27.059887970324027,-16.27005163431358,False,1,2023,6,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5203774,4,Zambia_0.05_n_250-274.csv,,JL,27.059887970324027,-16.27005163431358,False,2,2021,9,5,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5203774,4,Zambia_0.05_n_250-274.csv,,JL,27.059887970324027,-16.27005163431358,False,3,2018,8,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5061489,19,Zambia_0.05_n_250-274.csv,,JL,29.44783444255947,-11.097032548537772,False,1,2023,9,16,4,0.43094137760080226,0.04097523736210495,1030.1923989099262,410.14894446122474,410.14894446122474,410.14894446122474,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5207998,3,Zambia_0.05_n_250-274.csv,,JL,23.353801790579627,-16.374038606412327,True,1,2023,8,1,3,0.034533150652650384,0.034533150652650384,346.3538533508242,346.3538533508242,346.3538533508242,346.3538533508242,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3508583,17,Zambia_0.05_n_250-274.csv,,JL,33.004021054728526,-12.137953081331764,False,1,2023,9,10,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5222729,1,Zambia_0.05_n_250-274.csv,,JL,25.16446109690932,-16.813302310750736,False,1,2019,7,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5211081,2,Zambia_0.05_n_250-274.csv,,JL,26.160469866912344,-16.494377332351775,False,1,2023,6,20,2,0.003247126518287641,0.0,32.45201764603636,,32.45201764603636,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5211081,2,Zambia_0.05_n_250-274.csv,,JL,26.160469866912344,-16.494377332351775,False,2,2019,10,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5211081,2,Zambia_0.05_n_250-274.csv,,JL,26.160469866912344,-16.494377332351775,False,3,2019,10,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5211081,2,Zambia_0.05_n_250-274.csv,,JL,26.160469866912344,-16.494377332351775,False,4,2019,9,28,2,0.014612161740271126,0.0,29.207112368991744,,15.810335395108499,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5078070,18,Zambia_0.05_n_250-274.csv,,JL,29.58322764662623,-11.90003344965559,False,1,2020,8,5,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5119066,14,Zambia_0.05_n_250-274.csv,,JL,28.463139398111256,-13.435874729759318,True,1,2024,7,24,5,0.25126452510566266,0.16907187978715954,837.4009303912713,1690.4018358741548,407.2364332483318,1690.4018358741548,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5119066,14,Zambia_0.05_n_250-274.csv,,JL,28.463139398111256,-13.435874729759318,True,2,2018,9,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5119066,14,Zambia_0.05_n_250-274.csv,,JL,28.463139398111256,-13.435874729759318,True,3,2018,8,13,2,0.19195527715664357,0.001112469761787011,680.4937286549398,731.1158958425173,552.7976954474981,731.1158958425173,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5119066,14,Zambia_0.05_n_250-274.csv,,JL,28.463139398111256,-13.435874729759318,True,4,2017,8,25,2,0.06945301038687152,0.0,1479.3557030535057,,1479.3557030535057,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5119066,14,Zambia_0.05_n_250-274.csv,,JL,28.463139398111256,-13.435874729759318,True,5,2017,6,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5119066,14,Zambia_0.05_n_250-274.csv,,JL,28.463139398111256,-13.435874729759318,True,6,2016,9,9,3,0.004045889559283246,0.004045889559283246,195.59629636920062,195.59629636920062,195.59629636920062,195.59629636920062,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5184100,6,Zambia_0.05_n_250-274.csv,,JL,27.786649684227694,-15.436936748515654,False,1,2019,7,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5184100,6,Zambia_0.05_n_250-274.csv,,JL,27.786649684227694,-15.436936748515654,False,2,2018,8,26,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5199465,5,Zambia_0.05_n_250-274.csv,,JL,27.359134466502702,-16.134154156626277,False,1,2023,6,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5199465,5,Zambia_0.05_n_250-274.csv,,JL,27.359134466502702,-16.134154156626277,False,2,2023,6,22,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5199465,5,Zambia_0.05_n_250-274.csv,,JL,27.359134466502702,-16.134154156626277,False,3,2021,9,5,4,0.018569466284154932,0.014942496709917957,61.851237199381785,74.65617423143757,36.241363135270205,74.53372393749945,0.0,0.0,0.0,0.0,JL_v2_250-274
id_5199465,5,Zambia_0.05_n_250-274.csv,,JL,27.359134466502702,-16.134154156626277,False,4,2018,8,10,2,0.08123236343881243,0.0,270.5681835256775,,95.97838046354754,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3558430,13,Zambia_0.05_n_250-274.csv,,JL,32.57866193114548,-13.683909012109424,False,1,2020,8,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3558430,13,Zambia_0.05_n_250-274.csv,,JL,32.57866193114548,-13.683909012109424,False,2,2019,10,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3558430,13,Zambia_0.05_n_250-274.csv,,JL,32.57866193114548,-13.683909012109424,False,3,2019,6,28,3,0.0287143282196784,0.0287143282196784,289.50934034185195,289.50934034185195,289.50934034185195,289.50934034185195,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3558430,13,Zambia_0.05_n_250-274.csv,,JL,32.57866193114548,-13.683909012109424,False,4,2018,10,29,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
id_3558430,13,Zambia_0.05_n_250-274.csv,,JL,32.57866193114548,-13.683909012109424,False,5,2016,6,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,JL_v2_250-274
