site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_1387617,25,Zambia_0.05_n_176-200.csv,Update,KL,28.99150761300894,-9.704485566032307,False,1,2019,7,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_1063412,24,Zambia_0.05_n_176-200.csv,Update,KL,31.672445865638693,-9.825254409035551,False,1,2018,7,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_1063412,24,Zambia_0.05_n_176-200.csv,Update,KL,31.672445865638693,-9.825254409035551,False,2,2023,6,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,1,2016,6,4,5,1.2903373642905063,1.2443359166487638,1774.125946826714,2160.175545955278,107.13790348085969,107.13790348085969,0.15483274408745434,0.0,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,2,2016,8,12,4,0.6744009274161634,0.4329190701717966,963.7132917115152,2166.009840472895,147.55425837854364,1666.789373005237,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,3,2017,9,18,5,0.8190379460508787,0.8190379460508787,1023.4307773244823,1023.4307773244823,129.96704560333987,129.96704560333987,0.28108947152370883,0.0,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,4,2018,7,3,5,0.47344326469676334,0.47344326469676334,702.7753258805199,702.7753258805199,150.27986044621275,150.27986044621275,0.050523681453905345,0.0,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,5,2018,8,18,5,2.232378170829484,2.2000930713292606,2235.697389934202,2754.2803446343064,38.88067282604094,38.88067282604094,0.0,2.070941709066377,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,7,2019,9,15,5,0.5364446728322608,0.5321208342215944,766.0841892289784,886.5610774534692,43.22285988203366,108.52565033746424,0.0,0.4497729737278606,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,8,2020,8,28,5,0.6942472991949145,0.6942472991949145,580.62455359896,580.62455359896,46.544937275405275,46.544937275405275,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5187051,5,Zambia_0.05_n_176-200.csv,,KL,28.253323742021568,-15.552298263706817,False,9,2021,7,3,5,0.995119478223184,0.995119478223184,1421.1101068284195,1421.1101068284195,203.0610858510869,203.0610858510869,0.0,0.0,0.0,0.0,KL_MV_176-200
id_3494573,19,Zambia_0.05_n_176-200.csv,,KL,30.429019945464457,-11.403209875188525,True,1,2016,8,21,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_3494573,19,Zambia_0.05_n_176-200.csv,,KL,30.429019945464457,-11.403209875188525,True,2,2023,8,10,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5056811,20,Zambia_0.05_n_176-200.csv,Update,KL,29.427616759263675,-10.862248736286071,False,1,2023,7,5,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5186247,6,Zambia_0.05_n_176-200.csv,,KL,28.64460197642364,-15.513575628820972,True,1,2016,6,8,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5186247,6,Zambia_0.05_n_176-200.csv,,KL,28.64460197642364,-15.513575628820972,True,2,2017,7,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
id_5075878,18,Zambia_0.05_n_176-200.csv,Update,KL,27.21479109042737,-11.80326597420689,True,1,2016,10,15,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,KL_MV_176-200
