site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_3509924,20,Zambia_0.05_n_900-924.csv,Update,MV,32.90289176590386,-12.21932541515325,True,1,2023,9,8,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,1,2024,9,4,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,2,2021,9,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,3,2020,8,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,4,2020,7,13,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,5,2019,10,13,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,6,2019,10,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,7,2018,8,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,8,2017,9,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,9,2017,7,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5089540,19,Zambia_0.05_n_900-924.csv,Update,MV,27.840864856368995,-12.407946095581432,False,10,2017,7,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_3517634,17,Zambia_0.05_n_900-924.csv,Update,MV,30.997257090181403,-12.600693003207333,True,1,2017,9,26,2,0.19182975202200667,0.0,641.9088600450624,,197.87627146659725,,0.0,0.0,0.0,0.0,MV_900-924
id_5222292,3,Zambia_0.05_n_900-924.csv,Update,MV,27.76389927302245,-16.801999410458127,False,1,2021,9,5,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5222292,3,Zambia_0.05_n_900-924.csv,Update,MV,27.76389927302245,-16.801999410458127,False,2,2019,9,4,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5216275,4,Zambia_0.05_n_900-924.csv,Update,MV,27.341309457888,-16.640420459751056,True,1,2023,10,7,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5216275,4,Zambia_0.05_n_900-924.csv,Update,MV,27.341309457888,-16.640420459751056,True,2,2018,8,18,3,0.018340759164913466,0.018340759164913466,183.26485159242623,183.26485159242623,183.26485159242623,183.26485159242623,0.0,0.0,0.0,0.0,MV_900-924
id_5216275,4,Zambia_0.05_n_900-924.csv,Update,MV,27.341309457888,-16.640420459751056,True,3,2018,8,10,3,0.02177142490423345,0.02177142490423345,217.5448051919495,217.5448051919495,217.5448051919495,217.5448051919495,0.0,0.0,0.0,0.0,MV_900-924
id_5093148,18,Zambia_0.05_n_900-924.csv,Update,MV,24.179106535925907,-12.512013925532743,False,1,2023,7,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5093148,18,Zambia_0.05_n_900-924.csv,Update,MV,24.179106535925907,-12.512013925532743,False,2,2017,8,7,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5109238,16,Zambia_0.05_n_900-924.csv,Update,MV,23.491090162029543,-13.081676213982186,False,1,2023,9,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5039875,22,Zambia_0.05_n_900-924.csv,Update,MV,29.559785559094355,-10.264814713703627,True,1,2023,7,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5123523,12,Zambia_0.05_n_900-924.csv,Update,MV,26.042425922855795,-13.573922731474132,True,1,2023,10,10,3,0.27142715496254943,0.27142715496254943,1378.0061584722698,1378.0061584722698,98.41153544879543,98.41153544879543,0.0,0.0,0.0,0.0,MV_900-924
id_5043180,21,Zambia_0.05_n_900-924.csv,Update,MV,29.20489363251044,-10.402992144495554,False,1,2024,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
id_5116705,15,Zambia_0.05_n_900-924.csv,Update,MV,25.74782637077545,-13.355647473760222,False,1,2024,7,22,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_900-924
