site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_5138729,12,Zambia_0.05_n_1-25.csv,,MV,28.13378885898033,-14.08849524447184,True,1,2019,8,10,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5144066,11,Zambia_0.05_n_1-25.csv,Update,MV,28.67256867777285,-14.31132081050088,True,1,2019,10,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_3452668,23,Zambia_0.05_n_1-25.csv,,MV,31.35049313576777,-10.424415020767784,False,1,2024,6,12,5,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5152098,9,Zambia_0.05_n_1-25.csv,Update,MV,27.430822681750787,-14.615183365459323,False,1,2024,7,27,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5145908,10,Zambia_0.05_n_1-25.csv,Update,MV,28.28370900561473,-14.395097143646572,False,1,2024,8,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5145908,10,Zambia_0.05_n_1-25.csv,Update,MV,28.28370900561473,-14.395097143646572,False,2,2020,6,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5145908,10,Zambia_0.05_n_1-25.csv,Update,MV,28.28370900561473,-14.395097143646572,False,3,2019,9,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5145908,10,Zambia_0.05_n_1-25.csv,Update,MV,28.28370900561473,-14.395097143646572,False,4,2016,9,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5145908,10,Zambia_0.05_n_1-25.csv,Update,MV,28.28370900561473,-14.395097143646572,False,5,2016,7,27,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_5038665,24,Zambia_0.05_n_1-25.csv,Update,MV,29.34947859029196,-10.203145050736977,True,1,2017,9,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_3484254,20,Zambia_0.05_n_1-25.csv,Update,MV,30.39499439439374,-11.113784768736451,False,1,2023,7,15,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
id_3484254,20,Zambia_0.05_n_1-25.csv,Update,MV,30.39499439439374,-11.113784768736451,False,2,2017,9,15,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_DSB_1-25
