site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_5047466,22,Zambia_0.05_n_101-125.csv,,MV,28.69441336279321,-10.559789003626166,False,1,2023,6,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5047466,22,Zambia_0.05_n_101-125.csv,,MV,28.69441336279321,-10.559789003626166,False,2,2020,9,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5043172,23,Zambia_0.05_n_101-125.csv,,MV,29.13185870056841,-10.403486494769274,False,1,2023,6,9,2,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5220217,2,Zambia_0.05_n_101-125.csv,,MV,26.62845327146636,-16.748844422177925,False,1,2016,10,31,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5215242,3,Zambia_0.05_n_101-125.csv,,MV,26.56308708344337,-16.613122248631264,True,1,2016,10,31,4,0.056739987261034186,0.034242116938177414,188.99369331757464,171.08418760455217,151.86987954051676,151.86987954051676,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,MV,28.733099770105856,-13.732435532730667,False,1,2018,10,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,MV,28.733099770105856,-13.732435532730667,False,2,2016,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Update,MV,28.54000900267712,-13.896421849035953,False,1,2018,10,3,3,0.16974013051960388,0.03599822479832356,565.7338903098481,359.9424586038819,359.9424586038819,359.9424586038819,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Update,MV,28.54000900267712,-13.896421849035953,False,2,2018,9,16,4,0.17137853602398573,0.1275016998563244,571.1961704641634,637.4342933786426,438.71992463520496,563.4891488611702,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Update,MV,28.54000900267712,-13.896421849035953,False,3,2016,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,1,2017,8,28,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,2,2016,8,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,MV,23.668267383705523,-15.449433701871074,False,1,2023,8,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,MV,23.668267383705523,-15.449433701871074,False,2,2018,7,4,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,MV,23.668267383705523,-15.449433701871074,False,3,2017,9,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5171629,10,Zambia_0.05_n_101-125.csv,,MV,24.482392768826912,-15.107879807500575,False,1,2023,7,24,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5248727,1,Zambia_0.05_n_101-125.csv,,MV,26.240499223745218,-17.561268679796285,False,1,2023,8,11,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
id_5198343,6,Zambia_0.05_n_101-125.csv,Update,MV,27.61153949085305,-16.097420358722548,False,1,2023,6,22,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_JL_101-125
