site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_5035749,23,Zambia_0.05_n_275-299.csv,Update,MV,29.439268005998773,-10.012714003219576,True,1,2016,10,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5124022,16,Zambia_0.05_n_275-299.csv,Update,MV,29.36935583489172,-13.57354719453566,True,1,2019,8,30,2,0.11187452717372828,0.0,373.2301629495187,,96.5881485743968,,0.0,0.0,0.0,0.0,MV_v2_275-299
id_3564758,15,Zambia_0.05_n_275-299.csv,Update,MV,32.421148935620266,-13.810175799137705,True,1,2016,6,23,4,1.9984355942943424,0.4977755402702134,5034.7364716007105,2508.136385340192,1119.2177796747494,1119.2177796747494,0.0,0.0,0.0,0.0,MV_v2_275-299
id_1036893,25,Zambia_0.05_n_275-299.csv,Update,MV,31.62111266903825,-8.975064270369892,False,1,2016,6,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_v2_275-299
id_3591018,13,Zambia_0.05_n_275-299.csv,Update,MV,31.99352585651232,-14.278913393691418,True,1,2024,8,8,5,0.13344164970924627,0.13344164970924627,1538.334244456167,1538.334244456167,1538.334244456167,1538.334244456167,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5135765,14,Zambia_0.05_n_275-299.csv,Update,MV,28.01286703798174,-13.971504176365224,True,1,2023,8,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,False,1,2016,8,12,5,14.414923740508605,14.414923740508605,586516.6057814581,586516.6057814581,390215.19121396745,390215.19121396745,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,False,2,2017,8,24,3,2.950259026964083,2.5696188347055333,53333.489585943076,102862.33458300904,3804.64458887711,102862.33458300904,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,False,3,2018,8,18,5,5.61429507437819,5.61429507437819,216516.81726406052,216516.81726406052,216516.81726406052,216516.81726406052,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,False,4,2018,10,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,MV_v2_275-299
id_5250890,2,Zambia_0.05_n_275-299.csv,Update,MV,27.041465731463003,-17.62599445461969,False,1,2023,6,22,2,0.003631904364708361,0.0,36.28934046337805,,36.28934046337805,,0.0,0.0,0.0,0.0,MV_v2_275-299
