site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation
id_5092601,18,Zambia_0.05_n_101-125.csv,,JL,24.960879112558818,-12.501002119335134,true,1,2024,7,12,2
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,1,2016,6,30,1
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,2,2018,6,4,3
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,3,2019,6,14,3
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,4,2019,6,30,1
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,5,2019,10,18,1
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,6,2020,8,16,1
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,7,2021,6,5,1
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,8,2021,6,16,1
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,9,2021,6,22,2
id_3511469,19,Zambia_0.05_n_101-125.csv,,JL,33.24314026470543,-12.309666542306966,true,10,2022,8,19,1
id_5174895,9,Zambia_0.05_n_101-125.csv,,JL,28.0929278918455,-15.191571726460833,false,1,2016,8,12,1
id_5174895,9,Zambia_0.05_n_101-125.csv,,JL,28.0929278918455,-15.191571726460833,false,2,2017,8,28,1
id_5174895,9,Zambia_0.05_n_101-125.csv,,JL,28.0929278918455,-15.191571726460833,false,3,2018,10,14,1
id_5185003,8,Zambia_0.05_n_101-125.csv,,JL,23.668267383705523,-15.449433701871074,false,1,2017,9,17,1
id_5185003,8,Zambia_0.05_n_101-125.csv,,JL,23.668267383705523,-15.449433701871074,false,2,2018,7,4,1
id_5185003,8,Zambia_0.05_n_101-125.csv,,JL,23.668267383705523,-15.449433701871074,false,3,2023,8,1,1
id_5204478,5,Zambia_0.05_n_101-125.csv,,JL,27.69635912194645,-16.286994171812346,true,1,2019,7,27,2
id_5204478,5,Zambia_0.05_n_101-125.csv,,JL,27.69635912194645,-16.286994171812346,true,2,2021,6,17,5
id_5204478,5,Zambia_0.05_n_101-125.csv,,JL,27.69635912194645,-16.286994171812346,true,3,2021,9,5,2
id_5204478,5,Zambia_0.05_n_101-125.csv,,JL,27.69635912194645,-16.286994171812346,true,4,2023,6,17,5
id_5198343,6,Zambia_0.05_n_101-125.csv,,JL,27.61153949085305,-16.097420358722548,false,1,2019,7,27,1
id_5198343,6,Zambia_0.05_n_101-125.csv,,JL,27.61153949085305,-16.097420358722548,false,2,2021,6,17,1
