site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation
id_5160031,8,Zambia_0.05_n_151-175.csv,,JL,26.95723450826635,-14.832572062172712,false,1,2019,7,27,2
id_5044612,22,Zambia_0.05_n_151-175.csv,,JL,28.648202687823336,-10.460584984082992,true,1,2023,6,20,1
id_5044612,22,Zambia_0.05_n_151-175.csv,,JL,28.648202687823336,-10.460584984082992,true,2,2020,9,3,1
id_5087637,21,Zambia_0.05_n_151-175.csv,,JL,27.647542051182885,-12.354220813635092,false,1,2023,7,29,4
id_5087637,21,Zambia_0.05_n_151-175.csv,,JL,27.647542051182885,-12.354220813635092,false,2,2021,10,13,4
id_5087637,21,Zambia_0.05_n_151-175.csv,,JL,27.647542051182885,-12.354220813635092,false,3,2021,6,16,4
id_5087637,21,Zambia_0.05_n_151-175.csv,,JL,27.647542051182885,-12.354220813635092,false,4,2019,8,14,5
id_5087637,21,Zambia_0.05_n_151-175.csv,,JL,27.647542051182885,-12.354220813635092,false,5,2018,6,16,5
id_5087637,21,Zambia_0.05_n_151-175.csv,,JL,27.647542051182885,-12.354220813635092,false,6,2017,7,31,4
id_5162709,7,Zambia_0.05_n_151-175.csv,,JL,28.351666912137325,-14.891879783359554,false,1,2020,6,6,1
id_5162709,7,Zambia_0.05_n_151-175.csv,,JL,28.351666912137325,-14.891879783359554,false,2,2019,6,1,1
id_5162709,7,Zambia_0.05_n_151-175.csv,,JL,28.351666912137325,-14.891879783359554,false,3,2018,8,10,1
id_5162709,7,Zambia_0.05_n_151-175.csv,,JL,28.351666912137325,-14.891879783359554,false,4,2016,7,27,1
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,1,2022,10,5,5
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,2,2022,9,20,4
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,3,2021,9,13,1
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,4,2020,8,15,3
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,5,2020,6,9,5
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,6,2019,6,23,3
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,7,2018,9,22,2
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,8,2018,8,19,3
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,9,2018,6,14,3
id_5098939,19,Zambia_0.05_n_151-175.csv,,JL,28.21971950669261,-12.768152481405462,true,10,2018,6,3,3
id_5196438,5,Zambia_0.05_n_151-175.csv,,JL,26.62980472235283,-16.03469326402987,false,1,2023,10,15,4
id_5196438,5,Zambia_0.05_n_151-175.csv,,JL,26.62980472235283,-16.03469326402987,false,2,2016,10,31,2
id_5180920,6,Zambia_0.05_n_151-175.csv,,JL,28.242760716234223,-15.344460361031476,true,1,2020,8,28,5
id_5180920,6,Zambia_0.05_n_151-175.csv,,JL,28.242760716234223,-15.344460361031476,true,2,2019,9,15,5
id_5180920,6,Zambia_0.05_n_151-175.csv,,JL,28.242760716234223,-15.344460361031476,true,3,2019,6,6,5
id_5180920,6,Zambia_0.05_n_151-175.csv,,JL,28.242760716234223,-15.344460361031476,true,4,2018,8,18,5
id_5180920,6,Zambia_0.05_n_151-175.csv,,JL,28.242760716234223,-15.344460361031476,true,5,2018,7,3,5
