site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation
id_5252955,1,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.61714112824072,-17.68889893799758,false,1,2019,10,6,1
id_5252955,1,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.61714112824072,-17.68889893799758,false,2,2018,7,1,1
id_5252955,1,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.61714112824072,-17.68889893799758,false,3,2016,8,16,1
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,false,1,2023,7,9,1
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,false,2,2019,8,10,1
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,false,3,2018,6,18,1
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,false,4,2017,9,1,1
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,false,5,2016,8,3,1
id_5213952,3,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.46943313661572,-16.57674596060881,false,1,2023,9,20,1
id_5189674,4,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.282250795191327,-15.705791000474692,false,1,2021,10,13,3
id_5189674,4,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.282250795191327,-15.705791000474692,false,2,2017,9,19,1
id_5188140,5,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.775858477357257,-15.602929670404489,false,1,2021,7,14,1
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,true,1,2023,7,27,5
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,true,2,2019,7,2,5
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,true,3,2018,8,27,5
