location_num,x,y,district,province,images,year,month,day,avg_certainty,avg_percent_coverage,avg_percent_coverage_high,n_labelers,water_source_mode,log_coverage
1021748,31.2315382436706,-8.666008823570264,Mbala,Northern,1,2024,8,11,1,0,0,1,TRUE,0
1028396,31.70357116217928,-8.803547362654447,NA,NA,1,2018,7,25,1,0,0,1,TRUE,0
1031643,31.57606004227711,-8.866383885810043,Mbala,Northern,1,2024,8,29,1,0,0,1,FALSE,0
1032067,31.40328210947341,-8.874727375364836,Mbala,Northern,1,2024,9,11,1,0,0,5,TRUE,0
1032908,31.51230843121916,-8.893262204180312,Mbala,Northern,2,2024,8,29,1,0,0,1,TRUE,0
1032912,31.548677886355147,-8.893405645537761,Mbala,Northern,1,2024,8,29,5,0.2271394293005005,0.2271394293005005,1,TRUE,0.20468579358462138
1035612,32.112341053798,-8.949439450421698,NA,NA,2,2024,7,8,1,0,0,1,TRUE,0
1036000,31.51205194781957,-8.956556611547958,Mbala,Northern,1,2018,7,25,1,0,0,1,FALSE,0
1036449,31.057364474399883,-8.963489180341613,Mpulungu,Northern,2,2024,6,7,1,0,0,1,TRUE,0
1036893,31.62111266903825,-8.975064270369892,Mbala,Northern,1,2016,6,30,1,0,0,1,FALSE,0
1038116,30.99352387397193,-8.999307375910973,Mpulungu,Northern,3,2021,7,5,2,0.07683629636670107,0.07683629636670107,1,FALSE,0.07402738696161636
1038595,31.98482800065203,-9.0124180895378,NA,NA,3,2024,7,21,1,0,0,1,TRUE,0
1038926,30.993424114574104,-9.017386385597389,Mpulungu,Northern,2,2021,7,5,3,0.08071339705325184,0.05129341397822855,1,TRUE,0.07762137589422011
1040147,32.01202031131231,-9.048667277499634,NA,NA,2,2024,7,21,2,0.15374932343838735,0,1,TRUE,0.14301692043248843
1041724,31.875414341129964,-9.09349046332587,Senga Hill,Northern,2,2020,10,23,1,0,0,1,FALSE,0
1042363,32.06644426938952,-9.112117284228828,Senga Hill,Northern,3,2024,9,16,3,0.03333745124335897,0.03333745124335897,1,TRUE,0.03279380788926884
1042963,31.33848840200598,-9.127605203622709,Mbala,Northern,3,2024,9,11,1,0,0,1,FALSE,0
1044015,32.37576536308823,-9.158001752407806,Nakonde,Muchinga,4,2023,9,16,1.25,0.010188161892361975,0,1,FALSE,0.01013661240501109
1045526,31.35635065723192,-9.20001807446786,Mbala,Northern,3,2024,9,11,1,0,0,1,FALSE,0
1045543,31.611147224629907,-9.201089565713376,Senga Hill,Northern,2,2018,7,25,3,0.10454308133950563,0.06423021390097217,5,FALSE,0.09943174840436118
1045846,31.329010462880703,-9.208933721896727,Mbala,Northern,3,2024,9,11,2,0.044850742946967004,0.044850742946967004,1,TRUE,0.043874045499818055
1046288,32.61233936285078,-9.221645765383531,NA,NA,4,2023,9,3,1.75,0.007704041944109175,0.007704041944109175,1,FALSE,0.007674517355130646
1047544,32.64871728354964,-9.257862353620286,NA,NA,4,2021,9,11,4,0.13526071273551257,0.1116005651130924,1,TRUE,0.12686232740637735
1047777,31.68371681475745,-9.264660673009535,Senga Hill,Northern,2,2020,9,8,2,0.05825662193801065,0.05825662193801065,1,TRUE,0.056622857841331684
1048735,32.77615659912958,-9.29414412999028,NA,NA,10,2016,9,15,1.3,0.02491655905459651,0.02491655905459651,1,TRUE,0.02461120347634585
1050413,32.86719404592782,-9.339414133852143,NA,NA,7,2023,9,26,1,0,0,1,TRUE,0
1051330,31.191736417138703,-9.361961846971582,Senga Hill,Northern,2,2024,8,24,3.5,0.2231264487504726,0.09310836370381086,1,TRUE,0.20141024363390797
1051368,31.72886923686968,-9.364294676425487,Senga Hill,Northern,1,2018,7,15,1,0,0,1,FALSE,0
1052335,32.21141692536525,-9.392828797166988,Senga Hill,Northern,2,2024,8,8,4,0.054656102790253305,0.050148863762179544,1,TRUE,0.05321474486942232
1054358,31.22764087493327,-9.461591531531742,Senga Hill,Northern,2,2024,9,11,2.5,0.0426321430049126,0.0426321430049126,1,TRUE,0.04174842253798379
