operator_initials,water_source,image_number,year,month,day,irrigation,percent_coverage,coverage_outlier,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,poly_min_size,poly_min_size_high_certainty,most_recent,location_num,OBJECTID,FEATURE_TY,province,Area_km,PROV_CODE,DIST_CODE,district,Shape__Are,Shape__Len,x,y
KL,FALSE,1,2023,9,6,1,0,FALSE,0,NA,NA,NA,NA,1,5168346,81,District Town,Central,19847.0557231,101,101009,Mumbwa,21307919488.3911,897085.092148795,26.687395420902995,-15.040310386969027
KL,FALSE,2,2019,10,30,1,0,FALSE,0,NA,NA,NA,NA,1,5168346,81,District Town,Central,19847.0557231,101,101009,Mumbwa,21307919488.3911,897085.092148795,26.687395420902995,-15.040310386969027
KL,FALSE,1,2024,6,30,2,0.0341823402233562,FALSE,0,171.95521289097198,NA,120.84526189881188,NA,1,3581818,41,District Town,Eastern,2385.27493264,103,103003,Katete,2634472548.24561,367466.017721204,31.8830428929548,-14.12473537724542
KL,FALSE,2,2021,9,16,1,0,FALSE,0,NA,NA,NA,NA,1,3581818,41,District Town,Eastern,2385.27493264,103,103003,Katete,2634472548.24561,367466.017721204,31.8830428929548,-14.12473537724542
KL,FALSE,3,2016,6,3,1,0,FALSE,0,NA,NA,NA,NA,1,3581818,41,District Town,Eastern,2385.27493264,103,103003,Katete,2634472548.24561,367466.017721204,31.8830428929548,-14.12473537724542
KL,FALSE,1,2023,10,12,1,0,FALSE,0,NA,NA,NA,NA,1,5137280,36,District Town,Central,9707.13406543,101,101006,Kapiri Mposhi,10387712168.9067,707195.067101974,28.99441559864601,-14.019653008137954
KL,FALSE,1,2024,8,26,4,0.0193720583559296,FALSE,0.010888030384188,97.56904480686316,109.67754016742512,85.46054944630117,109.67754016742512,1,3556386,40,Provincial Town,Eastern,1989.02687838,103,103012,Kasenengwa,2104074457.86572,318520.721655306,32.282892408201775,-13.638021242841484
KL,FALSE,2,2017,9,10,2,0.010154267673459,FALSE,0,102.28492439658442,NA,102.28492439658442,NA,1,3556386,40,Provincial Town,Eastern,1989.02687838,103,103012,Kasenengwa,2104074457.86572,318520.721655306,32.282892408201775,-13.638021242841484
KL,FALSE,1,2017,7,31,1,0,FALSE,0,NA,NA,NA,NA,1,5130509,75,District Town,Copperbelt,6124.96407611,102,102008,Mpongwe,8867034850.26025,841619.881242094,28.28957713752233,-13.789392215880763
KL,FALSE,2,2016,9,9,1,0,FALSE,0,NA,NA,NA,NA,1,5130509,75,District Town,Copperbelt,6124.96407611,102,102008,Mpongwe,8867034850.26025,841619.881242094,28.28957713752233,-13.789392215880763
KL,FALSE,3,2016,8,23,1,0,FALSE,0,NA,NA,NA,NA,1,5130509,75,District Town,Copperbelt,6124.96407611,102,102008,Mpongwe,8867034850.26025,841619.881242094,28.28957713752233,-13.789392215880763
KL,FALSE,1,2023,9,1,1,0,FALSE,0,NA,NA,NA,NA,1,5161773,94,District Town,Western,3775.05438988,110,110011,Nkeyema,4064237287.63965,310688.305243379,25.33060529907417,-14.871709965825554
KL,FALSE,2,2021,7,24,1,0,FALSE,0,NA,NA,NA,NA,1,5161773,94,District Town,Western,3775.05438988,110,110011,Nkeyema,4064237287.63965,310688.305243379,25.33060529907417,-14.871709965825554
KL,FALSE,1,2019,10,25,1,0,FALSE,0,NA,NA,NA,NA,1,5144247,36,District Town,Central,9707.13406543,101,101006,Kapiri Mposhi,10387712168.9067,707195.067101974,28.691173639586463,-14.32022741488441
KL,FALSE,1,2020,6,6,1,0,FALSE,0,NA,NA,NA,NA,1,5162701,19,District Town,Central,5214.07471969,101,101002,Chisamba,5613847509.104,426827.051332472,28.25872082764209,-14.892409057556012
KL,FALSE,2,2016,8,12,1,0,FALSE,0,NA,NA,NA,NA,1,5162701,19,District Town,Central,5214.07471969,101,101002,Chisamba,5613847509.104,426827.051332472,28.25872082764209,-14.892409057556012
KL,FALSE,3,2016,7,27,1,0,FALSE,0,NA,NA,NA,NA,1,5162701,19,District Town,Central,5214.07471969,101,101002,Chisamba,5613847509.104,426827.051332472,28.25872082764209,-14.892409057556012
KL,TRUE,1,2023,9,24,1,0,FALSE,0,NA,NA,NA,NA,1,5163440,6,District Town,Central,8210.22858036,101,101001,Chibombo,8842455943.29541,587720.314097949,27.79400864767703,-14.912571131207455
KL,TRUE,2,2018,8,26,1,0,FALSE,0,NA,NA,NA,NA,1,5163440,6,District Town,Central,8210.22858036,101,101001,Chibombo,8842455943.29541,587720.314097949,27.79400864767703,-14.912571131207455
KL,FALSE,1,2023,6,14,1,0,FALSE,0,NA,NA,NA,NA,1,3531413,20,District Town,Central,11991.1176826,101,101003,Chitambo,12657639562.4683,1020342.45038621,30.83682680474056,-13.069365968963773
KL,FALSE,2,2018,8,9,1,0,FALSE,0,NA,NA,NA,NA,1,3531413,20,District Town,Central,11991.1176826,101,101003,Chitambo,12657639562.4683,1020342.45038621,30.83682680474056,-13.069365968963773
KL,TRUE,1,2024,7,21,4,0.221231979258499,FALSE,0.1213269787308962,184.96833637562,243.45350262778788,47.87162064529943,101.95083940738384,1,3536075,20,District Town,Central,11991.1176826,101,101003,Chitambo,12657639562.4683,1020342.45038621,30.75288609797549,-13.177085684547157
KL,FALSE,1,2023,9,24,1,0,FALSE,0,NA,NA,NA,NA,1,5099635,32,District Town,Copperbelt,1030.34464031,102,102003,Kalulushi,1090420623.01904,213949.121272838,28.06324144512697,-12.795953195067476
KL,FALSE,2,2022,10,6,1,0,FALSE,0,NA,NA,NA,NA,1,5099635,32,District Town,Copperbelt,1030.34464031,102,102003,Kalulushi,1090420623.01904,213949.121272838,28.06324144512697,-12.795953195067476
KL,FALSE,3,2021,9,16,2,0.0205545852926822,FALSE,0,205.45227279694143,NA,205.45227279694143,NA,1,5099635,32,District Town,Copperbelt,1030.34464031,102,102003,Kalulushi,1090420623.01904,213949.121272838,28.06324144512697,-12.795953195067476
KL,FALSE,4,2020,8,14,1,0,FALSE,0,NA,NA,NA,NA,1,5099635,32,District Town,Copperbelt,1030.34464031,102,102003,Kalulushi,1090420623.01904,213949.121272838,28.06324144512697,-12.795953195067476
KL,FALSE,5,2018,8,23,3,0.0157793264250778,FALSE,0.0077972259411859,78.85955826835806,77.9357485944007,77.9357485944007,77.9357485944007,1,5099635,32,District Town,Copperbelt,1030.34464031,102,102003,Kalulushi,1090420623.01904,213949.121272838,28.06324144512697,-12.795953195067476
KL,FALSE,6,2018,8,23,3,0.0157793264250778,FALSE,0.0077972259411859,78.85955826835806,77.9357485944007,77.9357485944007,77.9357485944007,1,5099635,32,District Town,Copperbelt,1030.34464031,102,102003,Kalulushi,1090420623.01904,213949.121272838,28.06324144512697,-12.795953195067476
