t,vf_B2,vf_B3,vf_B4,vf_B8,vf_NDVI,vf_NDWI,vf_RGB_joint
0,0.0,0.0,0.0,0.0001,0.0011,0.0081,0.0
1,0.0,0.0063,0.0047,0.0036,0.0003,0.001,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0001,0.0,0.0067,0.0063,0.0045,0.0
4,0.0031,0.0036,0.003,0.0,0.0,0.0,0.0004
5,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
6,0.0011,0.0067,0.0081,0.0047,0.0036,0.0017,0.0002
7,0.0003,0.0,0.001,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0067,0.0,0.0
9,0.0063,0.0047,0.0045,0.003,0.0,0.0004,0.0014
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0001,0.0,0.0,0.0081,0.0047,0.0042,0.0
12,0.0036,0.003,0.0017,0.001,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0067,0.0081,0.0,0.0045,0.003,0.0006,0.0
15,0.0,0.001,0.0004,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0081,0.0,0.0
17,0.0047,0.0045,0.0042,0.0017,0.001,0.0,0.0015
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0045,0.0031,0.0
20,0.003,0.0017,0.0006,0.0004,0.0,0.0,0.0001
21,0.0,0.0,0.0,0.0,0.0,0.0011,0.0
22,0.0081,0.0,0.0,0.0042,0.0017,0.0003,0.0
23,0.001,0.0004,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0063,0.0
25,0.0045,0.0042,0.0031,0.0006,0.0004,0.0,0.0013
26,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
27,0.0,0.0,0.0009,0.0,0.0038,0.002,0.0
28,0.0014,0.0006,0.0003,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0067,0.0
30,0.0,0.0,0.0063,0.0031,0.0006,0.0,0.0
31,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0001,0.0011,0.0,0.0047,0.0
33,0.0042,0.0031,0.0036,0.0003,0.0,0.0,0.0003
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0011,0.0067,0.0063,0.0031,0.003,0.0
36,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0
